iso3c,year,export_price_shock,n_commodities,total_export_share
SWE,2004,26.502208434108056,10,101.94636573488133
SWE,2005,38.33314421349304,10,101.25814054346566
SWE,2006,29.783243859430737,10,101.1419993575338
SWE,2007,7.915818360919206,10,101.54290378925255
SWE,2008,31.802193442773028,10,101.62889180059523
SWE,2009,-22.292984750559626,10,101.36843736972807
SWE,2010,39.162297575827715,10,101.19270980822344
SWE,2011,23.57672134223018,10,101.18390744142138
SWE,2012,-3.483285973761667,10,101.29605238316636
SWE,2013,-2.161016554351601,10,101.20533771967527
SWE,2014,-9.68683911302201,10,101.9662371460345
SWE,2015,-34.86005444730864,10,102.65553702781001
SWE,2016,-8.381306066341509,10,102.38066944704241
SWE,2017,20.121959938466638,10,101.66090632060688
SWE,2018,17.610020259863006,10,101.02456429434119
SWE,2019,-0.2845290598740124,10,101.27601436304865
SWE,2020,-6.6690705758359226,10,102.4837302144883
SWE,2021,51.6916284970789,10,101.34315550128605
SWE,2022,25.616117346626346,10,101.1865606914837
SWZ,2001,7.542525741851591,10,100.30907239403528
SWZ,2002,-0.397507414559809,10,100.78278343501236
SWZ,2003,3.2493199979495766,10,100.87433507311256
SWZ,2005,4.926680486511697,10,100.6470810573385
SWZ,2006,6.316269682652026,10,100.67918947253776
SWZ,2007,-4.513169756012519,10,100.77346723179687
SWZ,2008,6.593152931741265,10,100.7257130981692
SWZ,2009,12.368939746516311,10,100.28598932008751
SWZ,2010,27.2561365643555,10,100.30429434290042
SWZ,2011,20.343312449590968,10,100.79727899677303
SWZ,2012,-22.307086888184372,10,100.06955656885549
SWZ,2013,-21.896482983625443,10,100.1026766725286
SWZ,2014,13.36558089655405,10,100.11840166732917
SWZ,2015,-1.5411917398053756,10,100.04913454830707
SWZ,2016,10.060719423444057,10,100.09033475926903
SWZ,2017,2.2273061518938153,10,100.1064511279689
SWZ,2018,-7.226202785763936,10,100.07901394017209
SWZ,2019,2.6151476147578263,10,100.05515685941758
SWZ,2020,1.6553677233481008,10,100.01643952861178
SWZ,2021,26.781133865891956,10,100.03820444999346
SWZ,2022,10.986466067654142,10,100.03127204619932
SYC,2001,-23.87112903941155,8,100.00067289996333
SYC,2002,0.7495457730007412,5,100
SYC,2003,9.549414312846867,8,100.00757721436902
SYC,2004,25.580889850464718,8,100.00733699135463
SYC,2005,41.661681043448034,6,100
SYC,2006,20.525873931318902,8,100.00675695171812
SYC,2007,7.420541694797122,8,100.00229423548437
SYC,2008,8.928242225935037,9,100.52026379056532
SYC,2009,-6.756446515988165,5,100
SYC,2010,34.99005036443164,4,99.99999999999999
SYC,2011,28.54110795358491,6,100
SYC,2012,-21.7317507197828,5,99.99999999999999
SYC,2013,-9.146298150740364,5,99.99999999999999
SYC,2014,5.2464539275411495,5,99.99999999999999
SYC,2015,-19.071013249396437,7,103.36055147528124
SYC,2016,3.3928401693621253,7,101.10193532680476
SYC,2017,12.20458191774512,7,100.13214735273915
SYC,2018,18.277539861595685,7,99.99999999999999
SYC,2019,-6.674546993429908,6,100
SYC,2020,-31.942873886110128,8,100.02839331178123
SYC,2021,62.87282684513577,7,100.14421410995273
SYC,2022,44.40151954649843,8,100.00049911139855
SYR,2001,-12.108703941357875,6,100
SYR,2002,1.6103487614550227,8,102.51930803795322
SYR,2003,9.277964916019771,10,103.71119893199153
SYR,2004,25.662643577427485,9,103.96393152347977
SYR,2005,41.269413074067934,9,102.0240625466445
SYR,2006,20.71591515544014,10,104.38912998509822
SYR,2007,8.956238469274,10,104.05273500637657
SYR,2008,31.835404565326613,10,100.86395596359924
SYR,2009,-32.59756451571162,10,100.015053856221
SYR,2010,29.929363457275894,10,100.10898375668867
TGO,2001,-4.323250779888394,9,107.00752215854207
TGO,2002,36.29774887627875,9,108.63112258669914
TGO,2003,1.1672925021965468,10,104.45413663335596
TGO,2004,-5.154616764095913,10,101.07626747876908
TGO,2005,6.738541317039003,8,100.16092759905764
TGO,2007,17.302768233785656,8,105.71492189246192
TGO,2008,29.961910744102667,9,100.51810087829425
